ID,vreme,domaci,gosti,II 0-1,II 2+
Volcano709,2025-06-26 23:30:00,CA Tigre,Banfield,1.0,1.0
Topbet38,2025-06-26 23:30:00,CA Tigre,CA Banfield,1.3,3.4
Betole43,2025-06-26 23:30:00,Tigre,Banfield,1.23,3.7
Superbet78,2025-06-26 23:30:00,CA Tigre,CA Banfield,1.0,1.0
Oktagon43,2025-06-26 23:30:00,Tigre,Banfield,1.23,3.5
Mystake469,2025-06-26 23:30:00,CA Tigre,Banfield,1.0,1.0
Pinbet35,2025-06-26 23:30:00,Tigre,Banfield,1.0,1.0
Mozzart37,2025-06-26 23:30:00,Tigre,Banfield,1.41,2.7
Soccer42,2025-06-26 23:30:00,Tigre,Banfield,1.29,3.25
Balkan40,2025-06-26 23:30:00,CA Tigre,CA Banfield,1.21,3.5
