ID,vreme,domaci,gosti,ug 0-2,ug 3+
Volcano224,2025-06-27 02:00:00,w/USA,w/Ireland,1.0,1.0
Betole53,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,2.7,1.38
Oktagon50,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,2.7,1.39
Soccer52,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,2.8,1.38
Pinbet44,2025-06-27 02:00:00,USA W,Ireland W,2.7,1.39
Balkan50,2025-06-27 02:00:00,USA,Ireland,2.65,1.42
Mystake16,2025-06-27 02:00:00,USA W.,Ireland W.,1.0,1.0
Topbet48,2025-06-27 02:00:00,USA,Ireland,3.45,1.27
Mozzart46,2025-06-27 02:00:00,USA W,Ireland Rep.W,2.7,1.4
Planetwin21,2025-06-27 02:00:00,USA (W),Ireland (W),2.54,1.45
