ID,vreme,domaci,gosti,1,1-X2,X2-X2
Balkan31,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.9,1.0,1.0
Volcano757,2025-06-26 23:30:00,CA Tigre,Banfield,2.6,1.0,1.0
Mystake483,2025-06-26 23:30:00,CA Tigre,Banfield,2.55,1.0,1.0
Oktagon33,2025-06-26 23:30:00,Tigre,Banfield,2.6,13.0,1.54
Superbet60,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.52,1.0,1.0
Betole33,2025-06-26 23:30:00,Tigre,Banfield,2.62,13.0,1.55
Soccer34,2025-06-26 23:30:00,Tigre,Banfield,2.65,10.9,1.55
Topbet32,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.2,16.5,1.78
Pinbet29,2025-06-26 23:30:00,Tigre,Banfield,2.61,1.0,1.0
Mozzart29,2025-06-26 23:30:00,Tigre,Banfield,2.5,1.0,1.62
