ID,vreme,domaci,gosti,ug 0-3,ug 4+
Mystake493,2025-06-27 19:45:00,Bohemians Dublin,Sligo Rovers,1.0,1.0
Planetwin88,2025-06-27 19:45:00,Bohemians,Sligo,1.48,2.55
Topbet149,2025-06-27 19:45:00,Bohemians Dublin FC,Sligo Rovers FC,1.47,2.5
Mozzart173,2025-06-27 19:45:00,Bohemians D.,Sligo,1.45,2.55
Oktagon236,2025-06-27 19:45:00,Bohemian,Sligo Rovers,1.33,3.05
Soccer168,2025-06-27 19:45:00,Bohemians,Sligo,1.45,2.5
Balkan180,2025-06-27 19:45:00,Bohemians Dublin FC,Sligo Rovers FC,1.47,2.5
Pinbet163,2025-06-27 19:45:00,Bohemians,Sligo Rovers,1.5,2.56
Superbet235,2025-06-27 19:45:00,Bohemians Dublin,Sligo Rovers,1.0,1.0
Betole236,2025-06-27 19:45:00,Bohemian,Sligo Rovers,1.47,2.55
