ID,vreme,domaci,gosti,GG,NG
Soccer48,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,3.1,1.32
Volcano224,2025-06-27 02:00:00,w/USA,w/Ireland,3.9,1.18
Balkan46,2025-06-27 02:00:00,USA,Ireland,2.8,1.34
Betole48,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,3.8,1.2
Planetwin16,2025-06-27 02:00:00,USA (W),Ireland (W),3.31,1.26
Pinbet40,2025-06-27 02:00:00,USA W,Ireland W,3.85,1.19
Mystake27,2025-06-27 02:00:00,USA W.,Ireland W.,1.0,1.0
Topbet46,2025-06-27 02:00:00,USA,Ireland,1.0,1.0
Oktagon47,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,3.7,1.21
Mozzart39,2025-06-27 02:00:00,USA W,Ireland Rep.W,2.65,1.42
