ID,vreme,domaci,gosti,ug 0-1,ug 2+
Betole39,2025-07-13 19:00:00,Alvarado,San Miguel,1.8,1.83
Soccer12,2025-07-13 19:00:00,Alvarado,San Miguel,1.85,1.85
Superbet19,2025-07-13 19:00:00,Alvarado,CA San Miguel,1.0,1.0
Mozzart16,2025-07-13 19:00:00,Alvarado,San MIguel,2.19,1.6
Topbet12,2025-07-13 19:00:00,CA Alvarado,CA San Miguel,1.85,1.85
Pinbet34,2025-07-13 19:00:00,Alvarado,San Miguel,1.8,1.92
Planetwin8,2025-07-13 19:00:00,Alvarado,San Miguel,1.83,1.88
Oktagon39,2025-07-13 19:00:00,Alvarado,San Miguel,1.8,1.84
Mystake490,2025-07-13 19:00:00,CA Alvarado,San Miguel,1.0,1.0
Balkan18,2025-07-13 19:00:00,CA Alvarado,CA San Miguel,2.0,1.72
