ID,vreme,domaci,gosti,ug 0-1,ug 2+
Mystake491,2025-07-13 19:00:00,CA Alvarado,San Miguel,1.0,1.0
Superbet19,2025-07-13 19:00:00,Alvarado,CA San Miguel,1.0,1.0
Topbet12,2025-07-13 19:00:00,CA Alvarado,CA San Miguel,1.85,1.85
Mozzart16,2025-07-13 19:00:00,Alvarado,San MIguel,2.19,1.6
Planetwin8,2025-07-13 19:00:00,Alvarado,San Miguel,1.83,1.88
Betole39,2025-07-13 19:00:00,Alvarado,San Miguel,1.8,1.83
Oktagon39,2025-07-13 19:00:00,Alvarado,San Miguel,1.8,1.84
Pinbet34,2025-07-13 19:00:00,Alvarado,San Miguel,1.8,1.92
Balkan14,2025-07-13 19:00:00,CA Alvarado,CA San Miguel,2.0,1.72
Soccer12,2025-07-13 19:00:00,Alvarado,San Miguel,1.85,1.85
