ID,vreme,domaci,gosti,W1,W2
Oktagon40,2025-07-05 22:00:00,Mixto,Capital,1.0,1.0
Superbet40,2025-07-05 22:00:00,Mixto MT,Capital DF,1.41,2.5
Topbet38,2025-07-05 22:00:00,Mixto EC MT,Capital CF DF,1.0,1.0
Mozzart33,2025-07-05 22:00:00,Mixto,Capital,1.41,2.6
Soccer38,2025-07-05 22:00:00,Mixto,Capital FC,1.3,2.56
Pinbet37,2025-07-05 22:00:00,Mixto,Capital,1.42,2.49
Planetwin29,2025-07-05 22:00:00,Mixto,Capital,1.2,3.82
Betole40,2025-07-05 22:00:00,Mixto,Capital,1.41,2.57
Volcano41,2025-07-05 22:00:00,Mixto MT,Capital CF DF,1.41,2.6
Mystake129,2025-07-05 22:00:00,Mixto,Capital CF DF,1.4,2.45
Balkan39,2025-07-05 22:00:00,Mixto EC MT,Capital CF DF,1.0,1.0
