ID,vreme,domaci,gosti,ug 0-2,ug 3+
Superbet20,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
Mystake656,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
Mozzart27,2025-07-08 19:30:00,Stamford,Peterborough,3.6,1.2
Soccer31,2025-07-08 19:30:00,Stamford,Peterborough,3.85,1.22
Oktagon16,2025-07-08 19:30:00,Stamford,Peterborough,3.85,1.2
Balkan26,2025-07-08 19:30:00,Stamford AFC,Peterborough United,3.75,1.23
Betole17,2025-07-08 19:30:00,Stamford,Peterborough,3.85,1.2
Volcano226,2025-07-08 19:30:00,Stamford,Peterborough Utd.,1.0,1.0
Topbet24,2025-07-08 19:30:00,Stamford AFC,Peterborough United,2.8,1.4
Pinbet29,2025-07-08 19:30:00,Stamford,Peterborough,3.9,1.2
