ID,vreme,domaci,gosti,D II 0-1,D II 2+
Mozzart0,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.21,3.9
Volcano679,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.0,1.0
Topbet17,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.3,3.35
Planetwin1,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.0,1.0
Pinbet9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.0,1.0
Betole9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.23,3.55
Balkan16,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.0,1.0
Mystake115,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.0,1.0
Oktagon12,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.12,5.0
Superbet15,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.0,1.0
Soccer4,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.24,3.5
