ID,vreme,domaci,gosti,D II 0-1,D II 2+
Pinbet160,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,1.0
Volcano146,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,1.0
Soccer170,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.65,2.05
Mozzart154,2025-07-06 17:00:00,KR Reykjavik,Ka Akureyri,1.39,2.75
Planetwin114,2025-07-06 17:00:00,KR Reykjavik,Akureyri,1.62,2.15
Superbet201,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,1.0
Topbet155,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.65,2.1
Oktagon191,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.59,2.15
Mystake100,2025-07-06 17:00:00,KR Reykjavik,Ka Akureyri,1.0,1.0
Balkan160,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,2.2
Betole191,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.6,2.15
