ID,vreme,domaci,gosti,GG3+,ne GG3+
Soccer35,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.5,1.0
Mystake15,2025-06-26 19:15:00,Belgium W.,Greece W.,1.0,1.0
Planetwin10,2025-06-26 19:15:00,Belgium (W),Greece (W),4.13,1.13
Betole34,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.85,1.26
Pinbet27,2025-06-26 19:15:00,Belgium W,Greece W,2.81,1.28
Oktagon34,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.85,1.0
Volcano712,2025-06-26 19:15:00,w/Belgium,w/Greece,2.8,1.0
Mozzart30,2025-06-26 19:15:00,Belgium W,Greece W,2.55,1.34
Balkan32,2025-06-26 19:15:00,Belgium,Greece,2.9,1.0
Topbet31,2025-06-26 19:15:00,Belgium,Greece,3.25,1.0
