ID,vreme,domaci,gosti,G II 0-1,G II 2+
Oktagon67,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Superbet82,2025-07-06 09:00:00,Olympic FC,Gold Coast Knights,1.0,1.0
Volcano277,2025-07-06 09:00:00,Olympic,Gold Coast Knights,1.0,1.0
Soccer60,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.4,2.65
Topbet59,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.42,2.7
Mystake390,2025-07-06 09:00:00,Olympic  Brisbane,Gold Coast Knights,1.0,1.0
Mozzart53,2025-07-06 09:00:00,Olympic B.,Gold Coust Knights,1.22,3.4
Betole67,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Balkan66,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.0,1.0
Pinbet62,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.0,1.0
Planetwin61,2025-07-06 09:00:00,Olympic FC,Gold Coast Kn.,1.0,1.0
