ID,vreme,domaci,gosti,G II 0-1,G II 2+
Balkan62,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.0,1.0
Topbet55,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.42,2.7
Betole67,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Soccer60,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.4,2.65
Planetwin57,2025-07-06 09:00:00,Olympic FC,Gold Coast Kn.,1.0,1.0
Mozzart53,2025-07-06 09:00:00,Olympic B.,Gold Coust Knights,1.22,3.4
Oktagon67,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Superbet82,2025-07-06 09:00:00,Olympic FC,Gold Coast Knights,1.0,1.0
Pinbet62,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.0,1.0
Volcano277,2025-07-06 09:00:00,Olympic,Gold Coast Knights,1.0,1.0
Mystake389,2025-07-06 09:00:00,Olympic  Brisbane,Gold Coast Knights,1.0,1.0
