ID,vreme,domaci,gosti,G II 0-1,G II 2+
Topbet44,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.42,2.7
Betole53,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Soccer48,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.4,2.65
Balkan51,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.0,1.0
Superbet70,2025-07-06 09:00:00,Olympic FC,Gold Coast Knights,1.0,1.0
Volcano272,2025-07-06 09:00:00,Olympic,Gold Coast Knights,1.0,1.0
Pinbet55,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.0,1.0
Oktagon53,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Mozzart41,2025-07-06 09:00:00,Olympic B.,Gold Coust Knights,1.22,3.4
Mystake384,2025-07-06 09:00:00,Olympic  Brisbane,Gold Coast Knights,1.0,1.0
Planetwin45,2025-07-06 09:00:00,Olympic FC,Gold Coast Kn.,1.0,1.0
