ID,vreme,domaci,gosti,G II 0-1,G II 2+
Planetwin53,2025-07-06 09:00:00,Olympic FC,Gold Coast Kn.,1.0,1.0
Balkan58,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.0,1.0
Oktagon53,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Topbet51,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.42,2.7
Superbet70,2025-07-06 09:00:00,Olympic FC,Gold Coast Knights,1.0,1.0
Pinbet55,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.0,1.0
Mozzart41,2025-07-06 09:00:00,Olympic B.,Gold Coust Knights,1.22,3.4
Mystake386,2025-07-06 09:00:00,Olympic  Brisbane,Gold Coast Knights,1.0,1.0
Betole60,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Soccer48,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.4,2.65
Volcano275,2025-07-06 09:00:00,Olympic,Gold Coast Knights,1.0,1.0
