ID,vreme,domaci,gosti,GG,NG
Soccer18,2025-07-11 17:00:00,Lorenskog,Lillestrom 2,1.68,2.05
Balkan17,2025-07-11 17:00:00,Loerenskog IF,Lillestrom SK 2,1.0,1.0
Mozzart30,2025-07-11 17:00:00,Lorenskog,Lillestrom II,1.65,1.98
Superbet24,2025-07-11 17:00:00,Lorenskog IF,Lillestrom 2,1.66,2.1
Oktagon25,2025-07-11 17:00:00,Lorenskog,Lillestrom 2,1.66,1.97
Betole21,2025-07-11 17:00:00,Lorenskog,Lillestrom 2,1.67,1.95
Planetwin2,2025-07-11 17:00:00,Lorenskog,Lillestrom (2),1.55,2.35
Pinbet11,2025-07-11 17:00:00,Lorenskog,Lillestrom 2,1.67,1.99
Volcano41,2025-07-11 17:00:00,Lørenskog,Lillestrom SK 2,1.65,1.97
Topbet16,2025-07-11 17:00:00,Loerenskog IF,Lillestrom SK 2,1.85,1.85
Mystake71,2025-07-11 17:00:00,Loerenskog IF,Lillestrom SK 2,1.63,1.97
