ID,vreme,domaci,gosti,II 0-2,II 3+
Mozzart125,2025-07-12 16:30:00,Malmo,Norrkoping,1.29,3.25
Volcano759,2025-07-12 16:30:00,Malmö FF,IFK Norrköping,1.0,1.0
Balkan148,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,1.32,3.1
Soccer146,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.35,2.9
Pinbet121,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.0,1.0
Oktagon244,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping,1.24,3.65
Topbet117,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,1.4,2.95
Superbet234,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.0,1.0
Betole243,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.33,3.05
Mystake98,2025-07-12 16:30:00,Malmo,Norrkoping,1.0,1.0
