ID,vreme,domaci,gosti,GG,NG
Mozzart6,2025-07-11 17:00:00,Brinje Grosuplje,Shakhtar,2.05,1.62
Balkan17,2025-07-11 17:00:00,NK Brinje Grosuplje,FC Shakhtar Donetsk,1.55,2.15
Oktagon5,2025-07-11 17:00:00,Grosuplje,Shakhtar Donetsk,1.59,2.2
Betole12,2025-07-11 17:00:00,Grosuplje,Shakhtar Donetsk,1.6,2.15
Topbet18,2025-07-11 17:00:00,NK Brinje Grosuplje,FC Shakhtar Donetsk,1.68,2.05
Superbet6,2025-07-11 17:00:00,Brinje Grosuplje,Shakhtar Donetsk,1.61,2.17
Volcano464,2025-07-11 17:00:00,NK Brinje Grosuplje,Shakhtar Donetsk,1.58,2.22
Mystake902,2025-07-11 17:00:00,Brinje Grosuplje,Shakhtar Donetsk,1.61,2.17
Pinbet9,2025-07-11 17:00:00,Grosuplje,Shakhtar Donetsk,1.6,2.21
Soccer20,2025-07-11 17:00:00,Grosuplje,Shakhtar Donetsk,1.63,2.13
