ID,vreme,domaci,gosti,1,1-X2,X2-X2
Volcano738,2025-06-26 23:30:00,CA Tigre,Banfield,2.6,1.0,1.0
Mystake485,2025-06-26 23:30:00,CA Tigre,Banfield,2.55,1.0,1.0
Soccer34,2025-06-26 23:30:00,Tigre,Banfield,2.4,11.5,1.65
Oktagon37,2025-06-26 23:30:00,Tigre,Banfield,2.28,13.75,1.63
Topbet33,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.2,16.5,1.78
Superbet65,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.52,1.0,1.0
Betole37,2025-06-26 23:30:00,Tigre,Banfield,2.62,13.0,1.55
Mozzart30,2025-06-26 23:30:00,Tigre,Banfield,2.35,1.0,1.69
Pinbet29,2025-06-26 23:30:00,Tigre,Banfield,2.61,1.0,1.0
Balkan32,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.9,1.0,1.0
