ID,vreme,domaci,gosti,1X,2
Planetwin11,2025-07-02 00:30:00,United Bantams,Charlotte Ind. (2),1.86,1.8
Mozzart47,2025-07-02 00:30:00,United Bantams,Charlotte II,1.9,1.73
Mystake267,2025-07-02 00:30:00,South Carolina United ,Charlotte Independence 2,2.0,1.75
Soccer53,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,1.85,1.75
Betole63,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,1.83,1.81
Pinbet47,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,2.04,1.63
Balkan51,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,1.8,1.8
Superbet55,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,1.57,2.15
Volcano242,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,1.85,1.81
Oktagon62,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,1.85,1.81
Topbet47,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,1.86,1.75
