ID,vreme,domaci,gosti,1,X2
Oktagon180,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.91,1.76
Mystake133,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.5,2.35
Mozzart107,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.5,2.41
Planetwin50,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.46,2.42
Balkan150,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.5,2.25
Topbet187,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.52,2.28
Superbet145,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.52,2.27
Volcano808,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.49,2.35
Soccer124,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.45,2.37
Betole169,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.5,2.3
